Country,LungDisease,Influenza_Pneumonia,Asthema
AFGHANISTAN,37.62,64.21,19.26
ALBANIA,11.67,11.29,3.12
ALGERIA,8.77,27.82,4.68
ANGOLA,40.22,176.7,18.99
Antigua and Barbuda,11.76,30.87,3.61
United Arab Emirates,18.37,25.54,4.14
ARGENTINA,29.27,52.66,1.69
ARMENIA,23.86,9.9,0.73
AUSTRALIA,18.79,9.68,1.21
AUSTRIA,17.02,4.27,0.42
AZERBAIJAN,20.61,19.02,1.99
BAHAMAS,6.29,26.64,1.48
BAHRAIN,18.37,21.41,5.1
BANGLADESH,69.07,21.99,11.32
BARBADOS,9.65,62.8,2.88
BELARUS,9.46,5.19,0.97
BELGIUM,27.11,24.22,0.69
BELIZE,43.36,58.8,4.83
BENIN,29.33,159.6,16.91
BHUTAN,71.93,44.36,9.43
BOLIVIA,18.42,75.86,1.17
Bosnia and Herzegovina,18.48,7.25,1.26
BOTSWANA,42.66,82.52,12.57
BRAZIL,26.57,42.96,1.31
BRUNEI,33.05,26.19,6.16
BULGARIA,19.79,14.56,0.38
BURKINA FASO,19.38,149.88,12.45
BURUNDI,27.83,124.96,14.12
CAMBODIA,34.21,57.85,21.95
CAMEROON,24.85,144.06,14.27
CANADA,19.01,9.34,0.45
CAPE VERDE,18.77,83.78,8.73
CENTRAL AFRICA,41.66,163.65,26.87
CHAD,22.93,204.33,21.85
CHILE,14.84,20.32,1.17
CHINA,63.1,14.69,1.72
COLOMBIA,36.3,20.91,0.76
COMOROS,28.25,128.67,12.65
Congo (Brazzaville),29.04,87.33,10.95
COSTA RICA,20.42,13.81,0.89
Cote d'Ivoire,34.56,198.5,21.22
CROATIA,21.75,7.08,0.6
CUBA,23.3,31.07,1.67
CYPRUS,17.85,8.19,1.96
Czechia,19.68,15.51,0.68
DENMARK,31.99,17.12,0.52
DJIBOUTI,18.41,98.96,9.67
Dominican Republic,11.43,23.83,4.15
Congo (Kinshasa),34.27,128.08,17.72
ECUADOR,24.07,38.7,0.76
EGYPT,22.61,29.13,3.75
EL SALVADOR,13.86,42.07,3.03
Equatorial Guinea,41.24,141.17,14.63
ERITREA,27.14,106.78,14.16
ESTONIA,8.8,10.18,1.11
ETHIOPIA,18.56,86.8,11.98
FIJI,15.86,40.02,24.96
FINLAND,9.92,2.91,0.74
FRANCE,13.15,14.1,0.96
GABON,26.53,97.67,8.54
"Gambia, The",29.2,154.66,15.67
GEORGIA,23.26,10.24,1.54
GERMANY,20.01,10.86,0.67
GHANA,21.09,144.64,11.82
GREECE,20.62,11.16,0.39
GRENADA,21.74,86.5,1.89
GUATEMALA,21.2,66.66,3.34
GUINEA,25.37,144.82,15.85
GUINEA-BISSAU,26.93,146.18,15.6
GUYANA,25.7,56.31,4.43
HAITI,25.53,84.39,12.94
HONDURAS,21.39,16.61,2.41
HUNGARY,27.68,6.1,0.62
ICELAND,19.71,11.9,0.42
INDIA,96.92,64.03,11.35
INDONESIA,36.26,26.72,19.23
IRAN,18.84,19.67,8.11
IRAQ,8.56,22.66,3.33
IRELAND,24.92,15.91,0.81
ISRAEL,16.1,21.91,1.34
ITALY,17,8.15,0.34
JAMAICA,15.74,18.29,2.42
JAPAN,12.17,34.54,0.66
JORDAN,14.54,22.75,3.3
KAZAKHSTAN,114.28,26.61,11.61
KENYA,19.15,89.41,7.62
KIRIBATI,29.31,69.72,40.79
KUWAIT,10.99,58.28,3.02
KYRGYZSTAN,39.59,11.82,1.24
LAOS,36.62,75.1,25.96
LATVIA,8.06,12.99,0.99
LEBANON,17.28,8.57,4.4
LESOTHO,55.25,109.31,21.5
LIBERIA,17.35,124.54,10.02
LIBYA,22.09,33.38,5.74
LITHUANIA,11.5,11.59,0.81
LUXEMBOURG,20.52,12.46,0.74
MADAGASCAR,34.22,83.91,19.36
MALAWI,22.87,99.74,10.46
MALAYSIA,23.73,74.61,5.1
MALDIVES,26.7,18.56,4.65
MALI,44.55,79.71,31.85
MALTA,12.05,19.76,0.63
MAURITANIA,19.71,138.44,12.08
MAURITIUS,30.56,22.44,10.99
MEXICO,27.85,19.52,1.42
MICRONESIA,33.08,50.36,12.58
MOLDOVA,17.13,22.6,0.49
MONGOLIA,13.4,15.64,5.07
MONTENEGRO,17.6,6.49,1.78
MOROCCO,10.39,34.97,9.65
MOZAMBIQUE,17.81,87.67,9.22
MYANMAR,61.59,47.16,31.72
NAMIBIA,43.86,93.99,14.23
NEPAL,100.75,47.23,16.38
NETHERLANDS,26,14.56,0.39
NEW GUINEA,43.02,91.01,23.65
NEW ZEALAND,21.88,10.98,1
NICARAGUA,22.37,24.91,3.17
NIGER,24.86,165.84,16.37
NIGERIA,21.14,228.17,13.9
North Macedonia,22.14,4.58,1.5
NORTH KOREA,100.37,22.68,5.8
NORWAY,26.13,19.62,0.93
OMAN,10.87,39.11,1.91
PAKISTAN,50.61,39.45,7.84
PANAMA,24.25,24.46,2.09
PARAGUAY,19.1,32.65,2.08
PERU,17.69,90.3,1.18
PHILIPPINES,44.52,115.96,19.47
POLAND,16.16,17.56,0.86
PORTUGAL,13.35,29.81,0.58
QATAR,7.87,11.21,0.62
ROMANIA,18.8,24.27,0.7
RUSSIA,14.51,27.61,1.06
RWANDA,25.79,91.82,9.01
SAINT LUCIA,24.89,32.22,1.97
SAINT VINCENT,18.27,53.89,3.73
SAMOA,26.8,37.72,9.93
SAO TOME,60.2,101.05,16.94
SAUDI ARABIA,12.41,49.64,4.09
SENEGAL,22.57,95.11,11.8
SERBIA,23.27,8.21,2.08
SEYCHELLES,19.52,69.41,7.66
SIERRA LEONE,39.31,234.45,23.72
SINGAPORE,8.32,70.09,0.69
SLOVAKIA,11.72,21.91,0.54
SLOVENIA,11.89,15.28,0.58
SOLOMON ISL.,46.31,52.17,14.74
SOMALIA,18.02,156.01,18.87
SOUTH AFRICA,44.3,86.33,13.61
SOUTH KOREA,10.48,19.84,2.37
SOUTH SUDAN,23,124.14,13.12
SPAIN,16.37,10.21,0.89
SRI LANKA,21.58,24,32.23
SUDAN,35.12,60.13,10.23
SURINAME,13.41,36.69,2.93
SWAZILAND,53.05,101.17,18.11
SWEDEN,16.74,15.57,0.71
SWITZERLAND,15.22,10.19,0.6
SYRIA,11.71,23.17,11.39
TAJIKISTAN,34.61,48.9,2.96
TANZANIA,18.09,99.87,8.77
THAILAND,25.82,69.87,7.76
TIMOR-LESTE,30.82,71.87,19.55
TOGO,29.36,155.35,17.27
TONGA,35.14,52.09,12.27
Trinidad and Tobago,14.1,25.74,4.55
TUNISIA,23.54,32.53,7.11
TURKEY,35.63,14.43,3.34
TURKMENISTAN,16.94,32.3,1.6
UGANDA,22.19,97.38,10.82
UKRAINE,11.11,9.02,1.36
UNITED KINGDOM,23.66,23.01,1.06
UNITED STATES,32.01,14.91,0.95
URUGUAY,33.57,26.73,2.68
UZBEKISTAN,10.42,24.69,5.03
VANUATU,36.33,43.81,13.11
VENEZUELA,22.34,24.12,1.5
VIET NAM,26.26,23.39,9.19
YEMEN,38.97,54.48,12.34
ZAMBIA,20.04,90,8.21
ZIMBABWE,22.53,100.65,13.24
